Value,age,id,group,cluster,word,SSP,word_type,position,word_freq,cluster_freq,word_length,cluster_length,Reading.time
мгла,24,3d3587eb3f0ae79a66c273a16daa9426,A,мгл,мгла,nSSP,word,start,8.1,9.1,4,3,538
болезнь,24,3d3587eb3f0ae79a66c273a16daa9426,A,знь,болезнь,nSSP,word,end,109.6,1548.5,7,2,597
степь,24,3d3587eb3f0ae79a66c273a16daa9426,A,ст,степь,SSP,word,start,29.6,9964.8,5,2,463
волк,24,3d3587eb3f0ae79a66c273a16daa9426,A,лк,волк,SSP,word,end,36.1,133,4,2,1000
герб,24,3d3587eb3f0ae79a66c273a16daa9426,A,рб,герб,SSP,word,end,7.7,56.1,4,2,826
журавль,24,3d3587eb3f0ae79a66c273a16daa9426,A,вль,журавль,nSSP,word,end,5.2,5.2,7,2,3320
киборг,24,3d3587eb3f0ae79a66c273a16daa9426,A,рг,киборг,SSP,word,end,0.6,158,6,2,601
спектр,24,3d3587eb3f0ae79a66c273a16daa9426,A,ктр,спектр,nSSP,word,end,27,27,6,3,697
велосипед,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,велосипед,filler,word,filler,23.1,None,9,None,603
глаз,24,3d3587eb3f0ae79a66c273a16daa9426,A,гл,глаз,SSP,word,start,857.6,2880.4,4,2,617
кедр,24,3d3587eb3f0ae79a66c273a16daa9426,A,др,кедр,nSSP,word,end,6.1,73.4,4,2,2430
министр,24,3d3587eb3f0ae79a66c273a16daa9426,A,стр,министр,nSSP,word,end,154.1,249.6,7,3,458
темп,24,3d3587eb3f0ae79a66c273a16daa9426,A,мп,темп,SSP,word,end,49,63.1,4,2,463
обед,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,обед,filler,word,filler,69.7,None,4,None,413
динозавр,24,3d3587eb3f0ae79a66c273a16daa9426,A,вр,динозавр,nSSP,word,end,3.1,43.2,8,2,592
организм,24,3d3587eb3f0ae79a66c273a16daa9426,A,зм,организм,nSSP,word,end,80.6,725.1,8,2,299
кот,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,кот,filler,word,filler,40.3,None,3,None,588
мзда,24,3d3587eb3f0ae79a66c273a16daa9426,A,мзд,мзда,nSSP,word,start,1.5,2.7,4,3,388
мгновение,24,3d3587eb3f0ae79a66c273a16daa9426,A,мгн,мгновение,nSSP,word,start,55.1,113.6,9,3,712
куча,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,куча,filler,word,filler,40.4,None,4,None,477
цветок,24,3d3587eb3f0ae79a66c273a16daa9426,A,цв,цветок,SSP,word,start,92.4,369.3,6,2,468
рыба,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,рыба,filler,word,filler,86,None,4,None,264
холст,24,3d3587eb3f0ae79a66c273a16daa9426,A,лст,холст,SSP,word,end,8.9,8.9,5,3,373
жезл,24,3d3587eb3f0ae79a66c273a16daa9426,A,зл,жезл,nSSP,word,end,3.5,3.5,4,2,324
штраф,24,3d3587eb3f0ae79a66c273a16daa9426,A,штр,штраф,SSP,word,start,32.3,51.1,5,3,532
дартс,24,3d3587eb3f0ae79a66c273a16daa9426,A,ртс,дартс,SSP,word,end,0.4,0.4,5,3,473
блеск,24,3d3587eb3f0ae79a66c273a16daa9426,A,ск,блеск,SSP,word,end,29.7,568.9,5,2,543
сторож,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,сторож,filler,word,filler,14.4,None,6,None,363
пакет,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,пакет,filler,word,filler,65.8,None,5,None,288
соблазн,24,3d3587eb3f0ae79a66c273a16daa9426,A,зн,соблазн,nSSP,word,end,13.2,13.2,7,2,468
смысл,24,3d3587eb3f0ae79a66c273a16daa9426,A,сл,смысл,nSSP,word,end,294.6,294.6,5,2,696
льдина,24,3d3587eb3f0ae79a66c273a16daa9426,A,льд,льдина,nSSP,word,start,6.1,8.6,6,2,379
двойник,24,3d3587eb3f0ae79a66c273a16daa9426,A,дв,двойник,SSP,word,start,8,3166,7,2,358
льгота,24,3d3587eb3f0ae79a66c273a16daa9426,A,льг,льгота,nSSP,word,start,28.8,38.6,6,2,364
песнь,24,3d3587eb3f0ae79a66c273a16daa9426,A,снь,песнь,nSSP,word,end,18.7,18.7,5,2,353
ашомп,24,3d3587eb3f0ae79a66c273a16daa9426,A,мп,ашомп,SSP,pseudoword,end,None,63.1,4,2,354
косторг,24,3d3587eb3f0ae79a66c273a16daa9426,A,рг,косторг,SSP,pseudoword,end,None,158,6,2,522
нощага,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,нощага,filler,pseudoword,filler,None,None,6,None,831
вирб,24,3d3587eb3f0ae79a66c273a16daa9426,A,рб,вирб,SSP,pseudoword,end,None,56.1,4,2,567
якузн,24,3d3587eb3f0ae79a66c273a16daa9426,A,зн,якузн,nSSP,pseudoword,end,None,13.2,7,2,513
двурь,24,3d3587eb3f0ae79a66c273a16daa9426,A,дв,двурь,SSP,pseudoword,start,None,3166,7,2,448
слаш,24,3d3587eb3f0ae79a66c273a16daa9426,A,сл,слаш,SSP,pseudoword,start,None,6393,5,2,278
кусоратуз,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,кусоратуз,filler,pseudoword,filler,None,None,9,None,817
щавила,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,щавила,filler,pseudoword,filler,None,None,6,None,389
физл,24,3d3587eb3f0ae79a66c273a16daa9426,A,зл,физл,nSSP,pseudoword,end,None,3.5,4,2,526
глен,24,3d3587eb3f0ae79a66c273a16daa9426,A,гл,глен,SSP,pseudoword,start,None,2880.4,4,2,398
мгнус,24,3d3587eb3f0ae79a66c273a16daa9426,A,мгн,мгнус,nSSP,pseudoword,start,None,113.6,9,3,279
мщикус,24,3d3587eb3f0ae79a66c273a16daa9426,A,мщ,мщикус,nSSP,pseudoword,start,None,1.2,6,2,319
шанавр,24,3d3587eb3f0ae79a66c273a16daa9426,A,вр,шанавр,nSSP,pseudoword,end,None,43.2,8,2,289
ниял,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,ниял,filler,pseudoword,filler,None,None,4,None,284
штран,24,3d3587eb3f0ae79a66c273a16daa9426,A,штр,штран,SSP,pseudoword,start,None,51.1,5,3,313
стаху,24,3d3587eb3f0ae79a66c273a16daa9426,A,ст,стаху,SSP,pseudoword,start,None,9964.8,5,2,309
мгнинул,24,3d3587eb3f0ae79a66c273a16daa9426,A,мгл,мгнинул,nSSP,pseudoword,start,None,9.1,4,3,408
вущавль,24,3d3587eb3f0ae79a66c273a16daa9426,A,вль,вущавль,nSSP,pseudoword,end,None,5.2,7,2,442
уфилст,24,3d3587eb3f0ae79a66c273a16daa9426,A,лст,уфилст,SSP,pseudoword,end,None,8.9,5,3,269
ликостр,24,3d3587eb3f0ae79a66c273a16daa9426,A,стр,ликостр,nSSP,pseudoword,end,None,249.6,7,3,643
нораха,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,нораха,filler,pseudoword,filler,None,None,6,None,558
хущаск,24,3d3587eb3f0ae79a66c273a16daa9426,A,ск,хущаск,SSP,pseudoword,end,None,568.9,5,2,682
язнь,24,3d3587eb3f0ae79a66c273a16daa9426,A,знь,язнь,nSSP,pseudoword,end,None,1548.5,7,2,299
нокортс,24,3d3587eb3f0ae79a66c273a16daa9426,A,ртс,нокортс,SSP,pseudoword,end,None,0.4,5,3,726
шокесл,24,3d3587eb3f0ae79a66c273a16daa9426,A,сл,шокесл,nSSP,pseudoword,end,None,294.6,5,2,433
мздырмыг,24,3d3587eb3f0ae79a66c273a16daa9426,A,мзд,мздырмыг,nSSP,pseudoword,start,None,2.7,4,3,618
вихатор,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,вихатор,filler,pseudoword,filler,None,None,7,None,916
носудр,24,3d3587eb3f0ae79a66c273a16daa9426,A,др,носудр,nSSP,pseudoword,end,None,73.4,4,2,488
восхолк,24,3d3587eb3f0ae79a66c273a16daa9426,A,лк,восхолк,SSP,pseudoword,end,None,133,4,2,980
люфизм,24,3d3587eb3f0ae79a66c273a16daa9426,A,зм,люфизм,nSSP,pseudoword,end,None,725.1,8,2,837
цвоп,24,3d3587eb3f0ae79a66c273a16daa9426,A,цв,цвоп,SSP,pseudoword,start,None,369.3,6,2,647
герищав,24,3d3587eb3f0ae79a66c273a16daa9426,A,None,герищав,filler,pseudoword,filler,None,None,7,None,617
кулоктр,24,3d3587eb3f0ae79a66c273a16daa9426,A,ктр,кулоктр,nSSP,pseudoword,end,None,27,6,3,448
льгысет,24,3d3587eb3f0ae79a66c273a16daa9426,A,льг,льгысет,nSSP,pseudoword,start,None,38.6,6,2,483
щуснь,24,3d3587eb3f0ae79a66c273a16daa9426,A,снь,щуснь,nSSP,pseudoword,end,None,18.7,5,2,467
штраф,7,9b764fb83b4d8a84d35bf8ff484f6719,A,штр,штраф,SSP,word,start,32.3,51.1,5,3,16322
министр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,стр,министр,nSSP,word,end,154.1,249.6,7,3,3854
спектр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ктр,спектр,nSSP,word,end,27,27,6,3,5928
мщение,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мщ,мщение,nSSP,word,start,1.2,1.2,6,2,11498
песнь,7,9b764fb83b4d8a84d35bf8ff484f6719,A,снь,песнь,nSSP,word,end,18.7,18.7,5,2,7271
рыба,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,рыба,filler,word,filler,86,None,4,None,1440
мзда,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мзд,мзда,nSSP,word,start,1.5,2.7,4,3,19184
цветок,7,9b764fb83b4d8a84d35bf8ff484f6719,A,цв,цветок,SSP,word,start,92.4,369.3,6,2,2008
степь,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ст,степь,SSP,word,start,29.6,9964.8,5,2,2255
льгота,7,9b764fb83b4d8a84d35bf8ff484f6719,A,льг,льгота,nSSP,word,start,28.8,38.6,6,2,7418
велосипед,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,велосипед,filler,word,filler,23.1,None,9,None,2479
кедр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,др,кедр,nSSP,word,end,6.1,73.4,4,2,4304
льдина,7,9b764fb83b4d8a84d35bf8ff484f6719,A,льд,льдина,nSSP,word,start,6.1,8.6,6,2,3977
темп,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мп,темп,SSP,word,end,49,63.1,4,2,5162
обед,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,обед,filler,word,filler,69.7,None,4,None,2608
болезнь,7,9b764fb83b4d8a84d35bf8ff484f6719,A,знь,болезнь,nSSP,word,end,109.6,1548.5,7,2,27809
мгла,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мгл,мгла,nSSP,word,start,8.1,9.1,4,3,4824
динозавр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,вр,динозавр,nSSP,word,end,3.1,43.2,8,2,7377
пакет,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,пакет,filler,word,filler,65.8,None,5,None,576
кот,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,кот,filler,word,filler,40.3,None,3,None,1088
мгновение,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мгн,мгновение,nSSP,word,start,55.1,113.6,9,3,6094
организм,7,9b764fb83b4d8a84d35bf8ff484f6719,A,зм,организм,nSSP,word,end,80.6,725.1,8,2,4551
глаз,7,9b764fb83b4d8a84d35bf8ff484f6719,A,гл,глаз,SSP,word,start,857.6,2880.4,4,2,2784
двойник,7,9b764fb83b4d8a84d35bf8ff484f6719,A,дв,двойник,SSP,word,start,8,3166,7,2,5368
дартс,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ртс,дартс,SSP,word,end,0.4,0.4,5,3,510
волк,7,9b764fb83b4d8a84d35bf8ff484f6719,A,лк,волк,SSP,word,end,36.1,133,4,2,2329
слайд,7,9b764fb83b4d8a84d35bf8ff484f6719,A,сл,слайд,SSP,word,start,1.7,6393,5,2,4415
журавль,7,9b764fb83b4d8a84d35bf8ff484f6719,A,вль,журавль,nSSP,word,end,5.2,5.2,7,2,2570
герб,7,9b764fb83b4d8a84d35bf8ff484f6719,A,рб,герб,SSP,word,end,7.7,56.1,4,2,3314
жезл,7,9b764fb83b4d8a84d35bf8ff484f6719,A,зл,жезл,nSSP,word,end,3.5,3.5,4,2,401
холст,7,9b764fb83b4d8a84d35bf8ff484f6719,A,лст,холст,SSP,word,end,8.9,8.9,5,3,2456
соблазн,7,9b764fb83b4d8a84d35bf8ff484f6719,A,зн,соблазн,nSSP,word,end,13.2,13.2,7,2,6951
блеск,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ск,блеск,SSP,word,end,29.7,568.9,5,2,4751
киборг,7,9b764fb83b4d8a84d35bf8ff484f6719,A,рг,киборг,SSP,word,end,0.6,158,6,2,4280
смысл,7,9b764fb83b4d8a84d35bf8ff484f6719,A,сл,смысл,nSSP,word,end,294.6,294.6,5,2,9297
сторож,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,сторож,filler,word,filler,14.4,None,6,None,6103
куча,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,куча,filler,word,filler,40.4,None,4,None,3169
ниял,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,ниял,filler,pseudoword,filler,None,None,4,None,5799
косторг,7,9b764fb83b4d8a84d35bf8ff484f6719,A,рг,косторг,SSP,pseudoword,end,None,158,6,2,7663
кулоктр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ктр,кулоктр,nSSP,pseudoword,end,None,27,6,3,4393
ликостр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,стр,ликостр,nSSP,pseudoword,end,None,249.6,7,3,5015
шокесл,7,9b764fb83b4d8a84d35bf8ff484f6719,A,сл,шокесл,nSSP,pseudoword,end,None,294.6,5,2,5058
щавила,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,щавила,filler,pseudoword,filler,None,None,6,None,8385
глен,7,9b764fb83b4d8a84d35bf8ff484f6719,A,гл,глен,SSP,pseudoword,start,None,2880.4,4,2,2824
льгысет,7,9b764fb83b4d8a84d35bf8ff484f6719,A,льг,льгысет,nSSP,pseudoword,start,None,38.6,6,2,5025
двурь,7,9b764fb83b4d8a84d35bf8ff484f6719,A,дв,двурь,SSP,pseudoword,start,None,3166,7,2,4114
восхолк,7,9b764fb83b4d8a84d35bf8ff484f6719,A,лк,восхолк,SSP,pseudoword,end,None,133,4,2,5823
слаш,7,9b764fb83b4d8a84d35bf8ff484f6719,A,сл,слаш,SSP,pseudoword,start,None,6393,5,2,3560
шанавр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,вр,шанавр,nSSP,pseudoword,end,None,43.2,8,2,5119
мздырмыг,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мзд,мздырмыг,nSSP,pseudoword,start,None,2.7,4,3,5267
герищав,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,герищав,filler,pseudoword,filler,None,None,7,None,3968
нощага,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,нощага,filler,pseudoword,filler,None,None,6,None,11873
хущаск,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ск,хущаск,SSP,pseudoword,end,None,568.9,5,2,3614
стаху,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ст,стаху,SSP,pseudoword,start,None,9964.8,5,2,1456
мгнинул,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мгл,мгнинул,nSSP,pseudoword,start,None,9.1,4,3,13561
вирб,7,9b764fb83b4d8a84d35bf8ff484f6719,A,рб,вирб,SSP,pseudoword,end,None,56.1,4,2,4799
язнь,7,9b764fb83b4d8a84d35bf8ff484f6719,A,знь,язнь,nSSP,pseudoword,end,None,1548.5,7,2,5674
цвоп,7,9b764fb83b4d8a84d35bf8ff484f6719,A,цв,цвоп,SSP,pseudoword,start,None,369.3,6,2,8896
штран,7,9b764fb83b4d8a84d35bf8ff484f6719,A,штр,штран,SSP,pseudoword,start,None,51.1,5,3,4375
физл,7,9b764fb83b4d8a84d35bf8ff484f6719,A,зл,физл,nSSP,pseudoword,end,None,3.5,4,2,5426
уфилст,7,9b764fb83b4d8a84d35bf8ff484f6719,A,лст,уфилст,SSP,pseudoword,end,None,8.9,5,3,3457
вихатор,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,вихатор,filler,pseudoword,filler,None,None,7,None,17544
щуснь,7,9b764fb83b4d8a84d35bf8ff484f6719,A,снь,щуснь,nSSP,pseudoword,end,None,18.7,5,2,8181
мщикус,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мщ,мщикус,nSSP,pseudoword,start,None,1.2,6,2,4216
якузн,7,9b764fb83b4d8a84d35bf8ff484f6719,A,зн,якузн,nSSP,pseudoword,end,None,13.2,7,2,5809
ашомп,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мп,ашомп,SSP,pseudoword,end,None,63.1,4,2,2562
люфизм,7,9b764fb83b4d8a84d35bf8ff484f6719,A,зм,люфизм,nSSP,pseudoword,end,None,725.1,8,2,2721
кусоратуз,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,кусоратуз,filler,pseudoword,filler,None,None,9,None,5678
вущавль,7,9b764fb83b4d8a84d35bf8ff484f6719,A,вль,вущавль,nSSP,pseudoword,end,None,5.2,7,2,5322
нораха,7,9b764fb83b4d8a84d35bf8ff484f6719,A,None,нораха,filler,pseudoword,filler,None,None,6,None,3670
нокортс,7,9b764fb83b4d8a84d35bf8ff484f6719,A,ртс,нокортс,SSP,pseudoword,end,None,0.4,5,3,3799
носудр,7,9b764fb83b4d8a84d35bf8ff484f6719,A,др,носудр,nSSP,pseudoword,end,None,73.4,4,2,2809
мгнус,7,9b764fb83b4d8a84d35bf8ff484f6719,A,мгн,мгнус,nSSP,pseudoword,start,None,113.6,9,3,2754
театр,100,173059421ae1cd70a19da42feabc1193,B,тр,театр,nSSP,word,end,305.3,792,5,2,418
корова,100,173059421ae1cd70a19da42feabc1193,B,None,корова,filler,word,filler,44.8,None,6,None,307
лжец,100,173059421ae1cd70a19da42feabc1193,B,лж,лжец,nSSP,word,start,1.9,10.1,4,2,298
столб,100,173059421ae1cd70a19da42feabc1193,B,лб,столб,SSP,word,end,32.7,33.1,5,2,321
краб,100,173059421ae1cd70a19da42feabc1193,B,кр,краб,SSP,word,start,7.9,4723.9,4,2,338
вихрь,100,173059421ae1cd70a19da42feabc1193,B,хрь,вихрь,nSSP,word,end,9.7,9.7,5,2,240
цилиндр,100,173059421ae1cd70a19da42feabc1193,B,ндр,цилиндр,nSSP,word,end,12.5,16.6,7,3,301
дыня,100,173059421ae1cd70a19da42feabc1193,B,None,дыня,filler,word,filler,4.1,None,4,None,312
рубль,100,173059421ae1cd70a19da42feabc1193,B,бль,рубль,nSSP,word,end,296.4,416.2,5,2,338
тигр,100,173059421ae1cd70a19da42feabc1193,B,гр,тигр,nSSP,word,end,15.2,29.7,4,2,308
льстец,100,173059421ae1cd70a19da42feabc1193,B,льст,льстец,nSSP,word,start,0.7,6.7,6,3,318
хлыст,100,173059421ae1cd70a19da42feabc1193,B,ст,хлыст,SSP,word,end,2.8,2163.2,5,2,302
право,100,173059421ae1cd70a19da42feabc1193,B,пр,право,SSP,word,start,461.4,36041.9,5,2,377
абсурд,100,173059421ae1cd70a19da42feabc1193,B,рд,абсурд,SSP,word,end,9.1,132.5,6,2,470
порошок,100,173059421ae1cd70a19da42feabc1193,B,None,порошок,filler,word,filler,16.8,None,7,None,201
город,100,173059421ae1cd70a19da42feabc1193,B,None,город,filler,word,filler,573.4,None,5,None,389
триумф,100,173059421ae1cd70a19da42feabc1193,B,мф,триумф,SSP,word,end,9.3,9.3,6,2,294
поезд,100,173059421ae1cd70a19da42feabc1193,B,зд,поезд,SSP,word,end,93.3,363.2,5,2,314
скунс,100,173059421ae1cd70a19da42feabc1193,B,нс,скунс,SSP,word,end,0.5,179.5,5,2,401
бассейн,100,173059421ae1cd70a19da42feabc1193,B,йн,бассейн,SSP,word,end,33.4,77.5,7,2,360
мститель,100,173059421ae1cd70a19da42feabc1193,B,мст,мститель,nSSP,word,start,1.9,15.9,8,3,362
инфаркт,100,173059421ae1cd70a19da42feabc1193,B,ркт,инфаркт,SSP,word,end,11.6,11.6,7,3,348
мотоцикл,100,173059421ae1cd70a19da42feabc1193,B,кл,мотоцикл,nSSP,word,end,18.4,69.5,8,2,439
тембр,100,173059421ae1cd70a19da42feabc1193,B,мбр,тембр,nSSP,word,end,3.4,3.4,5,3,328
ржавчина,100,173059421ae1cd70a19da42feabc1193,B,рж,ржавчина,nSSP,word,start,4.2,31.1,8,2,290
склон,100,173059421ae1cd70a19da42feabc1193,B,скл,склон,SSP,word,start,26.3,262.9,5,3,318
ртуть,100,173059421ae1cd70a19da42feabc1193,B,рт,ртуть,nSSP,word,start,3.7,7.9,5,2,281
вратарь,100,173059421ae1cd70a19da42feabc1193,B,вр,вратарь,SSP,word,start,4.8,3016.4,7,2,338
егерь,100,173059421ae1cd70a19da42feabc1193,B,None,егерь,filler,word,filler,3.7,None,5,None,308
ствол,100,173059421ae1cd70a19da42feabc1193,B,ств,ствол,SSP,word,start,49.5,61.9,5,3,358
табурет,100,173059421ae1cd70a19da42feabc1193,B,None,табурет,filler,word,filler,7.3,None,7,None,268
носок,100,173059421ae1cd70a19da42feabc1193,B,None,носок,filler,word,filler,25.2,None,5,None,398
спектакль,100,173059421ae1cd70a19da42feabc1193,B,кль,спектакль,nSSP,word,end,164.7,178,9,2,318
ансамбль,100,173059421ae1cd70a19da42feabc1193,B,мбль,ансамбль,nSSP,word,end,21.7,21.7,8,3,272
трагедия,100,173059421ae1cd70a19da42feabc1193,B,тр,трагедия,SSP,word,start,45.7,4601.6,8,2,328
шквал,100,173059421ae1cd70a19da42feabc1193,B,шкв,шквал,SSP,word,start,3.4,4.2,5,3,238
рванина,100,173059421ae1cd70a19da42feabc1193,B,рв,рванина,nSSP,word,start,0.4,100.9,7,2,262
центр,100,173059421ae1cd70a19da42feabc1193,B,нтр,центр,nSSP,word,end,265.9,281.5,5,3,259
анакондр,100,173059421ae1cd70a19da42feabc1193,B,ндр,анакондр,nSSP,pseudoword,end,None,16.6,7,3,278
фунтр,100,173059421ae1cd70a19da42feabc1193,B,нтр,фунтр,nSSP,pseudoword,end,None,281.5,5,3,358
вигокль,100,173059421ae1cd70a19da42feabc1193,B,кль,вигокль,nSSP,pseudoword,end,None,178,9,2,449
визун,100,173059421ae1cd70a19da42feabc1193,B,None,визун,filler,pseudoword,filler,None,None,5,None,857
кугора,100,173059421ae1cd70a19da42feabc1193,B,None,кугора,filler,pseudoword,filler,None,None,6,None,711
шомбр,100,173059421ae1cd70a19da42feabc1193,B,мбр,шомбр,nSSP,pseudoword,end,None,3.4,5,3,322
инихрь,100,173059421ae1cd70a19da42feabc1193,B,хрь,инихрь,nSSP,pseudoword,end,None,9.7,5,2,560
фофард,100,173059421ae1cd70a19da42feabc1193,B,рд,фофард,SSP,pseudoword,end,None,132.5,6,2,764
сигузд,100,173059421ae1cd70a19da42feabc1193,B,зд,сигузд,SSP,pseudoword,end,None,363.2,5,2,381
жакл,100,173059421ae1cd70a19da42feabc1193,B,кл,жакл,nSSP,pseudoword,end,None,69.5,8,2,690
ипогр,100,173059421ae1cd70a19da42feabc1193,B,гр,ипогр,nSSP,pseudoword,end,None,29.7,4,2,777
поратух,100,173059421ae1cd70a19da42feabc1193,B,None,поратух,filler,pseudoword,filler,None,None,7,None,908
гощара,100,173059421ae1cd70a19da42feabc1193,B,None,гощара,filler,pseudoword,filler,None,None,6,None,752
крак,100,173059421ae1cd70a19da42feabc1193,B,кр,крак,SSP,pseudoword,start,None,4723.9,4,2,349
ствонет,100,173059421ae1cd70a19da42feabc1193,B,ств,ствонет,SSP,pseudoword,start,None,61.9,5,3,358
мстунит,100,173059421ae1cd70a19da42feabc1193,B,мст,мстунит,nSSP,pseudoword,start,None,15.9,8,3,2553
щутонс,100,173059421ae1cd70a19da42feabc1193,B,нс,щутонс,SSP,pseudoword,end,None,179.5,5,2,842
шейун,100,173059421ae1cd70a19da42feabc1193,B,None,шейун,filler,pseudoword,filler,None,None,5,None,1292
зовамф,100,173059421ae1cd70a19da42feabc1193,B,мф,зовамф,SSP,pseudoword,end,None,9.3,6,2,1434
трацеп,100,173059421ae1cd70a19da42feabc1193,B,тр,трацеп,SSP,pseudoword,start,None,4601.6,8,2,934
склус,100,173059421ae1cd70a19da42feabc1193,B,скл,склус,SSP,pseudoword,start,None,262.9,5,3,671
шквурм,100,173059421ae1cd70a19da42feabc1193,B,шкв,шквурм,SSP,pseudoword,start,None,4.2,5,3,539
ртос,100,173059421ae1cd70a19da42feabc1193,B,рт,ртос,nSSP,pseudoword,start,None,7.9,5,2,580
кузетр,100,173059421ae1cd70a19da42feabc1193,B,тр,кузетр,nSSP,pseudoword,end,None,792,5,2,799
лурян,100,173059421ae1cd70a19da42feabc1193,B,None,лурян,filler,pseudoword,filler,None,None,5,None,677
нокейн,100,173059421ae1cd70a19da42feabc1193,B,йн,нокейн,SSP,pseudoword,end,None,77.5,7,2,666
моркт,100,173059421ae1cd70a19da42feabc1193,B,ркт,моркт,SSP,pseudoword,end,None,11.6,7,3,880
югост,100,173059421ae1cd70a19da42feabc1193,B,ст,югост,SSP,pseudoword,end,None,2163.2,5,2,817
ржыр,100,173059421ae1cd70a19da42feabc1193,B,рж,ржыр,nSSP,pseudoword,start,None,31.1,8,2,372
вудалб,100,173059421ae1cd70a19da42feabc1193,B,лб,вудалб,SSP,pseudoword,end,None,33.1,5,2,1424
рвыкут,100,173059421ae1cd70a19da42feabc1193,B,рв,рвыкут,nSSP,pseudoword,start,None,100.9,7,2,410
коромбль,100,173059421ae1cd70a19da42feabc1193,B,мбль,коромбль,nSSP,pseudoword,end,None,21.7,8,3,723
льстыр,100,173059421ae1cd70a19da42feabc1193,B,льст,льстыр,nSSP,pseudoword,start,None,6.7,6,3,2624
торибль,100,173059421ae1cd70a19da42feabc1193,B,бль,торибль,nSSP,pseudoword,end,None,416.2,5,2,938
врамус,100,173059421ae1cd70a19da42feabc1193,B,вр,врамус,SSP,pseudoword,start,None,3016.4,7,2,605
прен,100,173059421ae1cd70a19da42feabc1193,B,пр,прен,SSP,pseudoword,start,None,36041.9,5,2,500
цветок,22,8eb840c4385c695796ed811242c7f35e,A,цв,цветок,SSP,word,start,92.4,369.3,6,2,1788
болезнь,22,8eb840c4385c695796ed811242c7f35e,A,знь,болезнь,nSSP,word,end,109.6,1548.5,7,2,1493
журавль,22,8eb840c4385c695796ed811242c7f35e,A,вль,журавль,nSSP,word,end,5.2,5.2,7,2,1276
глаз,22,8eb840c4385c695796ed811242c7f35e,A,гл,глаз,SSP,word,start,857.6,2880.4,4,2,1280
кот,22,8eb840c4385c695796ed811242c7f35e,A,None,кот,filler,word,filler,40.3,None,3,None,1344
мзда,22,8eb840c4385c695796ed811242c7f35e,A,мзд,мзда,nSSP,word,start,1.5,2.7,4,3,1803
герб,22,8eb840c4385c695796ed811242c7f35e,A,рб,герб,SSP,word,end,7.7,56.1,4,2,1050
велосипед,22,8eb840c4385c695796ed811242c7f35e,A,None,велосипед,filler,word,filler,23.1,None,9,None,1045
мгновение,22,8eb840c4385c695796ed811242c7f35e,A,мгн,мгновение,nSSP,word,start,55.1,113.6,9,3,1103
темп,22,8eb840c4385c695796ed811242c7f35e,A,мп,темп,SSP,word,end,49,63.1,4,2,975
дартс,22,8eb840c4385c695796ed811242c7f35e,A,ртс,дартс,SSP,word,end,0.4,0.4,5,3,1255
льгота,22,8eb840c4385c695796ed811242c7f35e,A,льг,льгота,nSSP,word,start,28.8,38.6,6,2,1330
